season,team,team_name
2016-2017,1,Arsenal
2016-2017,2,Bournemouth
2016-2017,3,Burnley
2016-2017,4,Chelsea
2016-2017,5,Crystal Palace
2016-2017,6,Everton
2016-2017,7,Hull
2016-2017,8,Leicester
2016-2017,9,Liverpool
2016-2017,10,Man City
2016-2017,11,Man Utd
2016-2017,12,Middlesbrough
2016-2017,13,Southampton
2016-2017,14,Stoke
2016-2017,15,Sunderland
2016-2017,16,Swansea
2016-2017,17,Spurs
2016-2017,18,Watford
2016-2017,19,West Brom
2016-2017,20,West Ham
2017-2018,1,Arsenal
2017-2018,2,Bournemouth
2017-2018,3,Brighton
2017-2018,4,Burnley
2017-2018,5,Chelsea
2017-2018,6,Crystal Palace
2017-2018,7,Everton
2017-2018,8,Huddersfield
2017-2018,9,Leicester
2017-2018,10,Liverpool
2017-2018,11,Man City
2017-2018,12,Man Utd
2017-2018,13,Newcastle
2017-2018,14,Southampton
2017-2018,15,Stoke
2017-2018,16,Swansea
2017-2018,17,Spurs
2017-2018,18,Watford
2017-2018,19,West Brom
2017-2018,20,West Ham
2018-2019,1,Arsenal
2018-2019,2,Bournemouth
2018-2019,3,Brighton
2018-2019,4,Burnley
2018-2019,5,Cardiff
2018-2019,6,Chelsea
2018-2019,7,Crystal Palace
2018-2019,8,Everton
2018-2019,9,Fulham
2018-2019,10,Huddersfield
2018-2019,11,Leicester
2018-2019,12,Liverpool
2018-2019,13,Man City
2018-2019,14,Man Utd
2018-2019,15,Newcastle
2018-2019,16,Southampton
2018-2019,17,Spurs
2018-2019,18,Watford
2018-2019,19,West Ham
2018-2019,20,Wolves
2019-2020,1,Arsenal
2019-2020,2,Aston Villa
2019-2020,3,Bournemouth
2019-2020,4,Brighton
2019-2020,5,Burnley
2019-2020,6,Chelsea
2019-2020,7,Crystal Palace
2019-2020,8,Everton
2019-2020,9,Leicester
2019-2020,10,Liverpool
2019-2020,11,Man City
2019-2020,12,Man Utd
2019-2020,13,Newcastle
2019-2020,14,Norwich
2019-2020,15,Sheffield Utd
2019-2020,16,Southampton
2019-2020,17,Spurs
2019-2020,18,Watford
2019-2020,19,West Ham
2019-2020,20,Wolves
2020-2021,1,Arsenal
2020-2021,2,Aston Villa
2020-2021,3,Brighton
2020-2021,4,Burnley
2020-2021,5,Chelsea
2020-2021,6,Crystal Palace
2020-2021,7,Everton
2020-2021,8,Fulham
2020-2021,9,Leicester
2020-2021,10,Leeds
2020-2021,11,Liverpool
2020-2021,12,Man City
2020-2021,13,Man Utd
2020-2021,14,Newcastle
2020-2021,15,Sheffield Utd
2020-2021,16,Southampton
2020-2021,17,Spurs
2020-2021,18,West Brom
2020-2021,19,West Ham
2020-2021,20,Wolves
2021-2022,1,Arsenal
2021-2022,2,Aston Villa
2021-2022,3,Brentford
2021-2022,4,Brighton
2021-2022,5,Burnley
2021-2022,6,Chelsea
2021-2022,7,Crystal Palace
2021-2022,8,Everton
2021-2022,9,Leicester
2021-2022,10,Leeds
2021-2022,11,Liverpool
2021-2022,12,Man City
2021-2022,13,Man Utd
2021-2022,14,Newcastle
2021-2022,15,Norwich
2021-2022,16,Southampton
2021-2022,17,Spurs
2021-2022,18,Watford
2021-2022,19,West Ham
2021-2022,20,Wolves
2022-2023,1,Arsenal
2022-2023,2,Aston Villa
2022-2023,3,Bournemouth
2022-2023,4,Brentford
2022-2023,5,Brighton
2022-2023,6,Chelsea
2022-2023,7,Crystal Palace
2022-2023,8,Everton
2022-2023,9,Fulham
2022-2023,10,Leicester
2022-2023,11,Leeds
2022-2023,12,Liverpool
2022-2023,13,Man City
2022-2023,14,Man Utd
2022-2023,15,Newcastle
2022-2023,16,Nott'm Forest
2022-2023,17,Southampton
2022-2023,18,Spurs
2022-2023,19,West Ham
2022-2023,20,Wolves
2023-2024,1,Arsenal
2023-2024,2,Aston Villa
2023-2024,3,Bournemouth
2023-2024,4,Brentford
2023-2024,5,Brighton
2023-2024,6,Burnley
2023-2024,7,Chelsea
2023-2024,8,Crystal Palace
2023-2024,9,Everton
2023-2024,10,Fulham
2023-2024,11,Liverpool
2023-2024,12,Luton
2023-2024,13,Man City
2023-2024,14,Man Utd
2023-2024,15,Newcastle
2023-2024,16,Nott'm Forest
2023-2024,17,Sheffield Utd
2023-2024,18,Spurs
2023-2024,19,West Ham
2023-2024,20,Wolves