fbref_name,fpl_name,fuzzy_score,total_points,review,duplicated,missing_matchlogs
Erik Pieters,Erik Pieters,100.0,338.0,,,
Paul Pogba,Paul Pogba,100.0,640.0,,,
Sebastian Prödl,Sebastian Prödl,100.0,111.0,,,
Marc Pugh,Marc Pugh,100.0,96.0,,,
Jason Puncheon,Jason Puncheon,100.0,118.0,,,
Gastón Ramírez,Gastón Ramírez,100.0,59.0,,,
Aaron Ramsey,Aaron Ramsey,100.0,295.0,,,
Darren Randolph,Darren Randolph,100.0,82.0,,,
Àngel Rangel,Angel Rangel,92.0,30.0,,,
Andrea Ranocchia,Andrea Ranocchia,100.0,55.0,,,
Marcus Rashford,Marcus Rashford,100.0,1033.0,,,
Nathan Redmond,Nathan Redmond,100.0,600.0,,,
Harrison Reed,Harrison Reed,100.0,222.0,,,
Winston Reid,Winston Reid,100.0,144.0,,,
Loïc Rémy,Loïc Remy,89.0,6.0,1.0,,
Jordan Rhodes,Jordan Rhodes,100.0,8.0,,,
Declan Rice,Declan Rice,100.0,697.0,,,
Andrew Robertson,Andrew Robertson,100.0,1114.0,,,
Paul Robinson,Paul Robinson,100.0,5.0,,,
Joel Robles,Joel Robles,100.0,96.0,,,
Hal Robson-Kanu,Hal Robson-Kanu,100.0,114.0,,,
Jay Rodriguez,Jay Rodriguez,100.0,436.0,,,
Jack Rodwell,Jack Rodwell,100.0,39.0,,,
Marcos Rojo,Marcos Rojo,100.0,105.0,,,
Sergio Romero,Sergio Romero,100.0,30.0,,,
Oriol Romeu,Oriol Romeu Vidal,90.0,396.0,,,
Salomón Rondón,Salomón Rondón,100.0,406.0,,,
Marten de Roon,Marten de Roon,100.0,91.0,,,
Wayne Rooney,Wayne Rooney,100.0,189.0,,,
Danny Rose,Danny Rose,100.0,248.0,,,
Wayne Routledge,Wayne Routledge,100.0,91.0,,,
Bacary Sagna,Bacary Sagna,100.0,55.0,,,
Diafra Sakho,Diafra Sakho,100.0,36.0,,,
Mamadou Sakho,Mamadou Sakho,100.0,219.0,,,
Bakary Sako,Bakary Sako,100.0,47.0,,,
Alexis Sánchez,Alexis Sánchez,100.0,463.0,,,
Leroy Sané,Leroy Sané,100.0,441.0,,,
Jeffrey Schlupp,Jeffrey Schlupp,100.0,544.0,,,
Kasper Schmeichel,Kasper Schmeichel,100.0,767.0,,,
Morgan Schneiderlin,Morgan Schneiderlin,100.0,135.0,,,
Xherdan Shaqiri,Xherdan Shaqiri,100.0,364.0,,,
Luke Shaw,Luke Shaw,100.0,576.0,,,
Ryan Shawcross,Ryan Shawcross,100.0,161.0,,,
Gylfi Sigurðsson,Gylfi Sigurdsson,94.0,676.0,,,
David Silva,David Silva,100.0,581.0,,,
Danny Simpson,Danny Simpson,100.0,152.0,,,
Josh Sims,Josh Sims,100.0,0.0,,,
Jerome Sinclair,Jerome Sinclair,100.0,10.0,,,
Moussa Sissoko,Moussa Sissoko,100.0,375.0,,,
Islam Slimani,Islam Slimani,100.0,109.0,,,
Chris Smalling,Chris Smalling,100.0,231.0,,,
Adam Smith,Adam Smith,100.0,427.0,,,
Brad Smith,Bradley Smith,87.0,4.0,1.0,,
Robert Snodgrass,Robert Snodgrass,100.0,319.0,,,
Cédric Soares,Cédric Soares,100.0,376.0,,,
Ramadan Sobhi,Ramadan Sobhi,100.0,91.0,,,
Pape Souaré,Pape Souaré,100.0,8.0,,,
Junior Stanislas,Junior Stanislas,100.0,284.0,,,
Maarten Stekelenburg,Maarten Stekelenburg,100.0,68.0,,,
Jack Stephens,Jack Stephens,100.0,338.0,,,
Raheem Sterling,Raheem Sterling,100.0,1342.0,,,
Kevin Stewart,Kevin Stewart,100.0,4.0,,,
John Stones,John Stones,100.0,590.0,,,
Cristhian Stuani,Cristhian Stuani,100.0,54.0,,,
Daniel Sturridge,Daniel Sturridge,100.0,120.0,,,
Isaac Success,Isaac Success,100.0,28.0,,,
Ki Sung-yueng,Sung-yueng Ki,95.0,156.0,,,
Andrew Surman,Andrew Surman,100.0,168.0,,,
Dušan Tadić,Dusan Tadic,82.0,230.0,1.0,,
Matt Targett,Matt Targett,100.0,406.0,,,
James Tarkowski,James Tarkowski,100.0,770.0,,,
Neil Taylor,Neil Taylor,100.0,43.0,,,
John Terry,John Terry,100.0,21.0,,,
James Tomkins,James Tomkins,100.0,353.0,,,
Gökhan Töre,Gökhan Töre,100.0,10.0,,,
Yaya Touré,Gnegneri Yaya Touré,90.0,102.0,,,
Andros Townsend,Andros Townsend,100.0,640.0,,,
Adama Traoré,Adama Traoré,100.0,389.0,,,
Kieran Trippier,Kieran Trippier,100.0,616.0,,,
Axel Tuanzebe,Axel Tuanzebe,100.0,43.0,,,
Josh Tymon,Josh Tymon,100.0,9.0,,,
Leonardo Ulloa,Leonardo Ulloa,100.0,44.0,,,
Víctor Valdés,Víctor Valdés,100.0,102.0,,,
Antonio Valencia,Antonio Valencia,100.0,283.0,,,
Enner Valencia,Enner Valencia,100.0,54.0,,,
Virgil van Dijk,Virgil van Dijk,100.0,974.0,,,
Jamie Vardy,Jamie Vardy,100.0,1130.0,,,
Jan Vertonghen,Jan Vertonghen,100.0,393.0,,,
Sam Vokes,Sam Vokes,100.0,232.0,,,
Michel Vorm,Michel Vorm,100.0,25.0,,,
Matěj Vydra,Matej Vydra,91.0,169.0,,,
Theo Walcott,Theo Walcott,100.0,485.0,,,
Kyle Walker,Kyle Walker,100.0,897.0,,,
Jonathan Walters,Jonathan Walters,100.0,75.0,,,
Victor Wanyama,Victor Wanyama,100.0,160.0,,,
Joel Ward,Joel Ward,100.0,487.0,,,
Stephen Ward,Stephen Ward,100.0,200.0,,,
James Ward-Prowse,James Ward-Prowse,100.0,980.0,,,
Marcin Wasilewski,Marcin Wasilewski,100.0,1.0,,,
Duncan Watmore,Duncan Watmore,100.0,43.0,,,
Ben Watson,Ben Watson,100.0,13.0,,,
Danny Welbeck,Danny Welbeck,100.0,502.0,,,
Ashley Westwood,Ashley Westwood,100.0,452.0,,,
Glenn Whelan,Glenn Whelan,100.0,62.0,,,
Connor Wickham,Connor Wickham,100.0,42.0,,,
Georginio Wijnaldum,Georginio Wijnaldum,100.0,546.0,,,
Ashley Williams,Ashley Williams,100.0,183.0,,,
Willian,Willian Borges Da Silva,90.0,598.0,,,
Jack Wilshere,Jack Wilshere,100.0,132.0,,,
Callum Wilson,Callum Wilson,100.0,883.0,,,
Marc Wilson,Marc Wilson,100.0,0.0,,,
Kevin Wimmer,Kevin Wimmer,100.0,21.0,,,
Harry Winks,Harry Winks,100.0,218.0,,,
Philipp Wollscheid,Philipp Wollscheid,100.0,1.0,,,
Ben Woodburn,Ben Woodburn,100.0,6.0,,,
Matt Worthington,Matthew Worthington,91.0,1.0,,,
Granit Xhaka,Granit Xhaka,100.0,640.0,,,
Claudio Yacob,Claudio Yacob,100.0,77.0,,,
Maya Yoshida,Maya Yoshida,100.0,208.0,,,
Ashley Young,Ashley Young,100.0,427.0,,,
Pablo Zabaleta,Pablo Zabaleta,100.0,201.0,,,
Wilfried Zaha,Wilfried Zaha,100.0,929.0,,,
Mauro Zárate,Mauro Zárate,100.0,8.0,,,
Simone Zaza,Simone Zaza,100.0,10.0,,,
Ron-Robert Zieler,Ron-Robert Zieler,100.0,17.0,,,
Kurt Zouma,Kurt Zouma,100.0,611.0,,,
Juan Zúñiga,Juan Zuñiga,91.0,38.0,,,
Rolando Aarons,Rolando Aarons,100.0,5.0,,,
Tammy Abraham,Tammy Abraham,100.0,308.0,,,
Ethan Ampadu,Ethan Ampadu,100.0,45.0,,,
Christian Atsu,Christian Atsu,100.0,170.0,,,
Pierre-Emerick Aubameyang,Pierre-Emerick Aubameyang,100.0,697.0,,,
Serge Aurier,Serge Aurier,100.0,402.0,,,
Tiemoué Bakayoko,Tiemoué Bakayoko,100.0,77.0,,,
Sam Baldock,Sam Baldock,100.0,2.0,,,
Beni Baningime,Beni Baningime,100.0,7.0,,,
Harvey Barnes,Harvey Barnes,100.0,636.0,,,
Kyle Bartley,Kyle Bartley,100.0,84.0,,,
Moritz Bauer,Moritz Bauer,100.0,41.0,,,
Jan Bednarek,Jan Bednarek,100.0,375.0,,,
Muhamed Bešić,Muhamed Bešić,100.0,9.0,,,
Philip Billing,Philip Billing,100.0,338.0,,,
Jeremie Boga,Jeremie Boga,100.0,1.0,,,
Gaëtan Bong,Gaëtan Bong,100.0,114.0,,,
Izzy Brown,Isaiah Brown,64.0,16.0,1.0,,
Bruno,Bruno Saltor Grau,100.0,130.0,,,
Oliver Burke,Oliver Burke,100.0,69.0,,,
Tyrese Campbell,Tyrese Campbell,100.0,4.0,,,
André Carrillo,André Carrillo,100.0,64.0,,,
Guido Carrillo,Guido Carrillo,100.0,15.0,,,
Hamza Choudhury,Hamza Choudhury,100.0,90.0,,,
Andreas Christensen,Andreas Christensen,100.0,265.0,,,
Ciaran Clark,Ciaran Clark,100.0,215.0,,,
Martin Cranie,Martin Cranie,100.0,2.0,,,
Josh Cullen,Josh Cullen,100.0,57.0,,,
Danilo,Danilo Luiz da Silva,90.0,146.0,,,
Karl Darlow,Karl Darlow,100.0,133.0,,,
Laurent Depoitre,Laurent Depoitre,100.0,128.0,,,
Fousseni Diabaté,Fousseni Diabaté,100.0,22.0,,,
Mohamed Diamé,Mohamed Diamé,100.0,126.0,,,
Brahim Díaz,Brahim Diaz,91.0,5.0,,,
Aleksandar Dragović,Aleksandar Dragovic,95.0,28.0,,,
Martin Dúbravka,Martin Dubravka,93.0,552.0,,,
Shane Duffy,Shane Duffy,100.0,311.0,,,
Paul Dummett,Paul Dummett,100.0,214.0,,,
Lewis Dunk,Lewis Dunk,100.0,737.0,,,
Ederson,Ederson Santana de Moraes,90.0,995.0,,,
Tom Edwards,Thomas Edwards,88.0,6.0,1.0,,
Rob Elliot,Robert Elliot,87.0,57.0,1.0,,
Patrice Evra,Patrice Evra,100.0,2.0,,,
Kiko Femenía,Francisco Femenía Far,86.0,238.0,1.0,,
Phil Foden,Phil Foden,100.0,720.0,,,
Jesús Gámez,Jesús Gámez Duarte,90.0,9.0,,,
Dwight Gayle,Dwight Gayle,100.0,190.0,,,
Paulo Gazzaniga,Paulo Gazzaniga,100.0,80.0,,,
Connor Goldson,Connor Goldson,100.0,6.0,,,
Joe Gomez,Joe Gomez,100.0,72.0,,,
Pascal Groß,Pascal Groß,100.0,830.0,,,
Florent Hadergjonaj,Florent Hadergjonaj,100.0,101.0,,,
Massadio Haïdara,Massadio Haidara,94.0,1.0,,,
Ben Hamer,Ben Hamer,100.0,18.0,,,
Rekeem Harper,Rekeem Harper,100.0,3.0,,,
Joe Hart,Joe Hart,100.0,128.0,,,
Isaac Hayden,Isaac Hayden,100.0,251.0,,,
Michael Hefele,Michael Hefele,100.0,1.0,,,
Ahmed Hegazi,Ahmed El-Sayed Hegazi,86.0,114.0,1.0,,
Tomer Hemed,Tomer Hemed,100.0,43.0,,,
Javier Hernández,Javier Hernández Balcázar,90.0,188.0,,,
Wesley Hoedt,Wesley Hoedt,100.0,103.0,,,
Jonathan Hogg,Jonathan Hogg,100.0,107.0,,,
Callum Hudson-Odoi,Callum Hudson-Odoi,100.0,281.0,,,
Will Hughes,Will Hughes,100.0,337.0,,,
Jordan Hugill,Jordan Hugill,100.0,3.0,,,
Uwe Hünemeier,Uwe Hünemeier,100.0,1.0,,,
Emerson Hyndman,Emerson Hyndman,100.0,2.0,,,
Vicente Iborra,Vicente Iborra,100.0,67.0,,,
Tom Ince,Tom Ince,100.0,82.0,,,
Danny Ings,Danny Ings,100.0,674.0,,,
Stephen Ireland,Stephen Ireland,100.0,4.0,,,
José Izquierdo,José Heriberto Izquierdo Mena,100.0,132.0,,,
Jesé,Jesé Rodríguez Ruiz,90.0,31.0,,,
Joselu,Jose Luis Mato Sanmartín,75.0,99.0,1.0,,
Mathias Jørgensen,Mathias Jorgensen,94.0,266.0,,,
Elias Kachunga,Elias Kachunga,100.0,75.0,,,
Orestis Karnezis,Orestis Karnezis,100.0,47.0,,,
Beram Kayal,Beram Kayal,100.0,61.0,,,
Davy Klaassen,Davy Klaassen,100.0,7.0,,,
Anthony Knockaert,Anthony Knockaert,100.0,162.0,,,
Sead Kolašinac,Sead Kolasinac,93.0,246.0,,,
Terence Kongolo,Terence Kongolo,100.0,92.0,,,
Grzegorz Krychowiak,Grzegorz Krychowiak,100.0,58.0,,,
Rajiv van La Parra,Rajiv van La Parra,100.0,84.0,,,
Alexandre Lacazette,Alexandre Lacazette,100.0,641.0,,,
Freddie Ladapo,Olayinka Fredrick Oladotun Ladapo,86.0,1.0,1.0,,
Aymeric Laporte,Aymeric Laporte,100.0,534.0,,,
Jamaal Lascelles,Jamaal Lascelles,100.0,424.0,,,
Florian Lejeune,Florian Lejeune,100.0,125.0,,,
Mario Lemina,Mario Lemina,100.0,289.0,,,
Victor Lindelöf,Victor Lindelöf,100.0,535.0,,,
Jürgen Locadia,Jürgen Locadia,100.0,72.0,,,
Joe Lolley,Joe Lolley,100.0,11.0,,,
Jonas Lössl,Jonas Lössl,100.0,236.0,,,
Chris Löwe,Chris Löwe,100.0,109.0,,,
Dodi Lukebakio,Dodi Lukebakio,100.0,1.0,,,
Levi Lumeka,Levi Lumeka,100.0,1.0,,,
Scott Malone,Scott Malone,100.0,41.0,,,
Eliaquim Mangala,Eliaquim Mangala,100.0,22.0,,,
Solly March,Solly March,100.0,186.0,,,
João Mário,João Mário Naval Costa Eduardo,90.0,46.0,,,
Konstantinos Mavropanos,Konstantinos Mavropanos,100.0,46.0,,,
Eric Maxim Choupo-Moting,Eric Maxim Choupo-Moting,100.0,107.0,,,
Chancel Mbemba,Chancel Mbemba,100.0,20.0,,,
Alex McCarthy,Alex McCarthy,100.0,386.0,,,
Benjamin Mendy,Benjamin Mendy,100.0,219.0,,,
Mikel Merino,Mikel Merino,100.0,49.0,,,
Roque Mesa,Roque Mesa,100.0,18.0,,,
Aleksandar Mitrović,Aleksandar Mitrović,100.0,171.0,,,
Aaron Mooy,Aaron Mooy,100.0,269.0,,,
Álvaro Morata,Álvaro Morata,100.0,168.0,,,
Steve Mounié,Steve Mounie,92.0,161.0,,,
Lucas Moura,Lucas Rodrigues Moura da Silva,100.0,426.0,,,
Jacob Murphy,Jacob Murphy,100.0,344.0,,,
Jamie Murphy,Jamie Murphy,100.0,6.0,,,
Glenn Murray,Glenn Murray,100.0,276.0,,,
Charly Musonda Jr.,Charly Musonda,95.0,6.0,,,
Boaz Myhill,Boaz Myhill,100.0,1.0,,,
Badou Ndiaye,Papa Alioune Ndiaye,86.0,41.0,1.0,,
Reiss Nelson,Reiss Nelson,100.0,96.0,,,
Eddie Nketiah,Eddie Nketiah,100.0,134.0,,,
Lukas Nmecha,Lukas Nmecha,100.0,2.0,,,
Michael Obafemi,Michael Obafemi,100.0,65.0,,,
Reece Oxford,Reece Oxford,100.0,1.0,,,
Kasey Palmer,Kasey Palmer,100.0,4.0,,,
Emerson Palmieri,Emerson Palmieri dos Santos,90.0,182.0,,,
Ayoze Pérez,Ayoze Pérez,100.0,506.0,,,
Nick Pope,Nick Pope,100.0,809.0,,,
Alex Pritchard,Alex Pritchard,100.0,109.0,,,
Davy Pröpper,Davy Pröpper,100.0,246.0,,,
Collin Quaner,Collin Quaner,100.0,46.0,,,
Sandro Ramírez,Sandro Ramírez,100.0,10.0,,,
Richarlison,Richarlison de Andrade,90.0,867.0,,,
Jaïro Riedewald,Jairo Riedewald,93.0,130.0,,,
Matt Ritchie,Matt Ritchie,100.0,396.0,,,
Connor Roberts,Connor Roberts,100.0,88.0,,,
Liam Rosenior,Liam Rosenior,100.0,3.0,,,
Antonio Rüdiger,Antonio Rüdiger,100.0,537.0,,,
Mathew Ryan,Mathew Ryan,100.0,422.0,,,
Abdelhamid Sabiri,Abdelhamid Sabiri,100.0,12.0,,,
Henri Saivet,Henri Saivet,100.0,8.0,,,
Mohamed Salah,Mohamed Salah,100.0,1733.0,,,
Renato Sanches,Renato Sanches,100.0,20.0,,,
Davinson Sánchez,Davinson Sánchez,100.0,413.0,,,
Ezequiel Schelotto,Ezequiel Schelotto,100.0,29.0,,,
Christopher Schindler,Christopher Schindler,100.0,178.0,,,
Jonjo Shelvey,Jonjo Shelvey,100.0,370.0,,,
Adrien Silva,Adrien Silva,100.0,0.0,,,
Bernardo Silva,Bernardo Veiga de Carvalho e Silva,100.0,855.0,,,
Jack Simpson,Jack Simpson,100.0,15.0,,,
Tommy Smith,Tommy Smith,100.0,59.0,,,
Dominic Solanke,Dominic Solanke,100.0,420.0,,,
Julián Speroni,Julian Speroni,93.0,37.0,,,
Kostas Stafylidis,Konstantinos Stafylidis,85.0,6.0,1.0,,
Dale Stephens,Dale Stephens,100.0,227.0,,,
Markus Suttner,Markus Suttner,100.0,38.0,,,
Lasse Sørensen,Lasse Sorenson,86.0,5.0,1.0,,
Alexander Sørloth,Alexander Sørloth,100.0,20.0,,,
Charlie Taylor,Charlie Taylor,100.0,396.0,,,
Cenk Tosun,Cenk Tosun,100.0,140.0,,,
Nikola Vlašić,Nikola Vlašić,100.0,0.0,,,
Molla Wagué,Molla Wagué,100.0,19.0,,,
Kyle Walker-Peters,Kyle Walker-Peters,100.0,304.0,,,
Aaron Wan-Bissaka,Aaron Wan-Bissaka,100.0,552.0,,,
Nahki Wells,Nahki Wells,100.0,9.0,,,
Dean Whitehead,Dean Whitehead,100.0,4.0,,,
Danny Williams,Danny Williams,100.0,34.0,,,
Joe Willock,Joe Willock,100.0,141.0,,,
Chris Wood,Chris Wood,100.0,769.0,,,
DeAndre Yedlin,DeAndre Yedlin,100.0,190.0,,,
Davide Zappacosta,Davide Zappacosta,100.0,67.0,,,
Marvin Zeegelaar,Marvin Zeegelaar,100.0,28.0,,,
Oleksandr Zinchenko,Oleksandr Zinchenko,100.0,439.0,,,
Alisson,Alisson Ramses Becker,90.0,876.0,,,
Miguel Almirón,Miguel Almirón,100.0,293.0,,,
Luke Amos,Luke Amos,100.0,1.0,,,
Felipe Anderson,Felipe Anderson Pereira Gomes,100.0,223.0,,,
Florin Andone,Florin Andone,100.0,43.0,,,
Stuart Armstrong,Stuart Armstrong,100.0,402.0,,,
Kepa Arrizabalaga,Kepa Arrizabalaga,100.0,395.0,,,
Floyd Ayité,Floyd Ayité,100.0,24.0,,,
Ryan Babel,Ryan Babel,100.0,75.0,,,
Juninho Bacuna,Juninho Bacuna,100.0,39.0,,,
Leandro Bacuna,Leandro Bacuna,100.0,17.0,,,
Fabián Balbuena,Fabián Balbuena,100.0,140.0,,,
Leon Balogun,Leon Balogun,100.0,15.0,,,
Sol Bamba,Sol Bamba,100.0,95.0,,,
Antonio Barreca,Antonio Barreca,100.0,1.0,,,
Joe Bennett,Joe Bennett,100.0,77.0,,,
Ryan Bennett,Ryan Bennett,100.0,121.0,,,
Bernard,Bernard Anício Caldeira Duarte,90.0,181.0,,,
Bernardo,Bernardo Fernandes da Silva Junior,100.0,65.0,,,
Marcus Bettinelli,Marcus Bettinelli,100.0,14.0,,,
Yves Bissouma,Yves Bissouma,100.0,294.0,,,
Willy Boly,Willy Boly,100.0,385.0,,,
Léo Bonatini,Léo Bonatini,100.0,0.0,,,
David Brooks,David Brooks,100.0,172.0,,,
Joe Bryan,Joe Bryan,100.0,79.0,,,
David Button,David Button,100.0,17.0,,,
Tom Cairney,Tom Cairney,100.0,220.0,,,
Rafael Camacho,Rafael Camacho,100.0,1.0,,,
Víctor Camarasa,Víctor Camarasa,100.0,107.0,,,
Jonny Castro,Jonathan Castro Otto,100.0,326.0,,,
Ivan Cavaleiro,Ivan Cavaleiro,100.0,48.0,,,
Tahith Chong,Tahith Chong,100.0,79.0,,,
Cyrus Christie,Cyrus Christie,100.0,42.0,,,
Ibrahima Cissé,Ibrahima Cissé,100.0,4.0,,,
Conor Coady,Conor Coady,100.0,533.0,,,
Joel Coleman,Joel Coleman,100.0,2.0,,,
Hélder Costa,Hélder Costa,100.0,52.0,,,
Greg Cunningham,Greg Cunninghamm,97.0,9.0,,,
Diogo Dalot,Diogo Dalot Teixeira,90.0,195.0,,,
Matty Daly,Matthew Daly,82.0,2.0,1.0,,
Loïc Damour,Loïc Damour,100.0,2.0,,,
Leander Dendoncker,Leander Dendoncker,100.0,358.0,,,
Adama Diakhaby,Adama Diakhaby,100.0,19.0,,,
Grady Diangana,Grady Diangana,100.0,64.0,,,
Lucas Digne,Lucas Digne,100.0,616.0,,,
Issa Diop,Issa Diop,100.0,360.0,,,
Matt Doherty,Matt Doherty,100.0,499.0,,,
Luke Dreher,Luke Dreher,100.0,1.0,,,
Demeaco Duhaney,Demeaco Duhaney,100.0,1.0,,,
Erik Durm,Erik Durm,100.0,49.0,,,
Bruno Ecuele Manga,Bruno Ecuele Manga,100.0,97.0,,,
Harvey Elliott,Harvey Elliott,100.0,164.0,,,
Mohamed Elyounoussi,Mohamed Elyounoussi,100.0,180.0,,,
Neil Etheridge,Neil Etheridge,100.0,154.0,,,
Fabinho,Fabio Henrique Tavares,100.0,380.0,,,
Fabricio,Fabricio Agosto Ramírez,90.0,8.0,,,
Juan Foyth,Juan Foyth,100.0,38.0,,,
Fred,Frederico Rodrigues de Paula Santos,100.0,314.0,,,
Ryan Fredericks,Ryan Fredericks,100.0,159.0,,,
Sam Gallagher,Sam Gallagher,100.0,4.0,,,
James Garner,James Garner,100.0,109.0,,,
Rachid Ghezzal,Rachid Ghezzal,100.0,28.0,,,
Morgan Gibbs-White,Morgan Gibbs-White,100.0,347.0,,,
André Gomes,André Filipe Tavares Gomes,86.0,169.0,1.0,,
Jon Gorenc Stanković,Jon Gorenc Stankovic,95.0,24.0,,,
Karlan Grant,Karlan Grant,100.0,86.0,,,
Mason Greenwood,Mason Greenwood,100.0,284.0,,,
Vicente Guaita,Vicente Guaita,100.0,560.0,,,
Mattéo Guendouzi,Mattéo Guendouzi,100.0,0.0,,,
Angus Gunn,Angus Gunn,100.0,107.0,,,
Aron Gunnarsson,Aron Gunnarsson,100.0,65.0,,,
Kadeem Harris,Kadeem Harris,100.0,24.0,,,
Rhys Healey,Rhys Healey,100.0,3.0,,,
Gonzalo Higuaín,Gonzalo Higuaín,100.0,53.0,,,
Junior Hoilett,David Junior Hoilett,95.0,82.0,,,
Alireza Jahanbakhsh,Alireza Jahanbakhsh,100.0,85.0,,,
Raúl Jiménez,Raúl Jiménez,100.0,607.0,,,
Stefan Johansen,Stefan Johansen,100.0,11.0,,,
Ben Johnson,Ben Johnson,100.0,127.0,,,
Tyreke Johnson,Tyreke Johnson,100.0,1.0,,,
Jorginho,Jorge Luiz Frello Filho,100.0,530.0,,,
Diogo Jota,Diogo Teixeira da Silva,100.0,695.0,,,
Aboubakar Kamara,Aboubakar Kamara,100.0,36.0,,,
Neeskens Kebano,Neeskens Kebano,100.0,53.0,,,
Naby Keïta,Naby Keita,90.0,209.0,,,
Max Kilman,Max Kilman,100.0,359.0,,,
Mateo Kovačić,Mateo Kovačić,100.0,368.0,,,
Maxime Le Marchand,Maxime Le Marchand,100.0,39.0,,,
Bernd Leno,Bernd Leno,100.0,633.0,,,
Jefferson Lerma,Jefferson Lerma,100.0,140.0,,,
Stephan Lichtsteiner,Stephan Lichtsteiner,100.0,14.0,,,
Sean Longstaff,Sean Longstaff,100.0,349.0,,,
James Maddison,James Maddison,100.0,816.0,,,
Gary Madine,Gary Madine,100.0,5.0,,,
