pred_pts_fpl_name,fpl_name
Salah,Salah
De Bruyne,De Bruyne
Haaland,Haaland
Son,Son
Kane,Kane
Ronaldo,Ronaldo
Sterling,Sterling
Fernandes,Fernandes
Vardy,Vardy
Aubameyang,Aubameyang
Diogo Jota,Diogo Jota
Darwin,Darwin
Richarlison,Richarlison
Luis Díaz,Luis Díaz
Kulusevski,Kulusevski
Bowen,Bowen
Werner,Werner
Jesus,Jesus
Firmino,Firmino
Foden,Foden
Calvert-Lewin,Calvert-Lewin
Maddison,Maddison
Saka,Saka
Havertz,Havertz
Mount,Mount
Mahrez,Mahrez
Gündogan,Gündogan
Antony,Antony
Alexander-Arnold,Alexander-Arnold
Toney,Toney
Bamford,Bamford
Sancho,Sancho
Watkins,Watkins
Zaha,Zaha
Cancelo,Cancelo
Wilson,Wilson
Antonio,Antonio
Isak,Isak
Bernardo,Bernardo
Barnes,Barnes
Martial,Martial
Jiménez,Jiménez
Grealish,Grealish
Trossard,Trossard
Coutinho,Coutinho
Robertson,Robertson
Scamacca,Scamacca
Martinelli,Martinelli
Nketiah,Nketiah
Trossard,Trossard
Rashford,Rashford
Ødegaard,Ødegaard
Welbeck,Welbeck
Sinisterra,Sinisterra
Ward-Prowse,Ward-Prowse
Ings,Ings
Van Dijk,Van Dijk
Saint-Maximin,Saint-Maximin
Adams,Adams
Maupay,Maupay
Rodrigo,Rodrigo
Tielemans,Tielemans
Eriksen,Eriksen
Harrison,Harrison
Iheanacho,Iheanacho
Álvarez,Álvarez
Maupay,Maupay
James,James
James,James
James,James
Dias,Dias
Joelinton,Joelinton
Guedes,Guedes
Buendía,Buendía
Mbeumo,Mbeumo
Jorginho,Jorginho
Matip,Matip
Johnson,Johnson
Cornet,Cornet
Dennis,Dennis
Chilwell,Chilwell
Wilson,Wilson
Laporte,Laporte
Rodri,Rodri
Awoniyi,Awoniyi
Lucas Moura,Lucas Moura
Jorginho,Jorginho
Fábio Vieira,Fábio Vieira
Solanke,Solanke
Ziyech,Ziyech
Pulisic,Pulisic
Gallagher,Gallagher
Daka,Daka
Lingard,Lingard
Benrahma,Benrahma
Hwang,Hwang
Wood,Wood
Smith Rowe,Smith Rowe
Mac Allister,Mac Allister
Bruno Guimarães,Bruno Guimarães
Wood,Wood
Benteke,Benteke
Gibbs-White,Gibbs-White
Muniz,Muniz
Moore,Moore
Janelt,Janelt
Koulibaly,Koulibaly
Eze,Eze
Townsend,Townsend
Iwobi,Iwobi
Gray,Gray
Kebano,Kebano
De Cordova-Reid,De Cordova-Reid
Aaronson,Aaronson
Ederson,Ederson
A.Armstrong,A.Armstrong
Lloris,Lloris
Højbjerg,Højbjerg
Neves,Neves
Podence,Podence
Adama,Adama
Gibbs-White,Gibbs-White
Willian,Willian
Vinícius,Vinícius
Davis,Davis
Hudson-Odoi,Hudson-Odoi
Dele,Dele
Nørgaard,Nørgaard
Wissa,Wissa
Thiago Silva,Thiago Silva
Olise,Olise
Alisson,Alisson
Fabinho,Fabinho
Carvalho,Carvalho
Stones,Stones
Trippier,Trippier
Aribo,Aribo
Mara,Mara
Bentancur,Bentancur
Soucek,Soucek
Fornals,Fornals
Pépé,Pépé
Redmond,Redmond
McGinn,McGinn
Brooks,Brooks
Lowe,Lowe
Christie,Christie
Billing,Billing
Anthony,Anthony
Lewis-Potter,Lewis-Potter
Mwepu,Mwepu
Broja,Broja
Edouard,Edouard
Mateta,Mateta
Gelhardt,Gelhardt
Henderson,Henderson
Fraser,Fraser
Elyounoussi,Elyounoussi
Lanzini,Lanzini
Damsgaard,Damsgaard
Gordon,Gordon
Ramsey,Ramsey
Thiago,Thiago
Fred,Fred
Van de Beek,Van de Beek
Pope,Pope
McNeil,McNeil
Gordon,Gordon
Gabriel,Gabriel
Zinchenko,Zinchenko
Xhaka,Xhaka
Jensen,Jensen
Undav,Undav
Cucurella,Cucurella
Dier,Dier
Emerson Royal,Emerson Royal
Neto,Neto
Tella,Tella
Vlasic,Vlasic
Lolley,Lolley
Lerma,Lerma
Canós,Canós
Hickey,Hickey
March,March
Caicedo,Caicedo
Loftus-Cheek,Loftus-Cheek
Rondón,Rondón
Palhinha,Palhinha
Adams,Adams
Dewsbury-Hall,Dewsbury-Hall
Elliott,Elliott
Walker,Walker
Aké,Aké
Almirón,Almirón
Yates,Yates
Djenepo,Djenepo
Davies,Davies
Bryan,Bryan
Fabianski,Fabianski
Sá,Sá
Semedo,Semedo
Chiquinho,Chiquinho
Gueye,Gueye
Freuler,Freuler
Casemiro,Casemiro
Arthur,Arthur
Edozie,Edozie
Akanji,Akanji
Zakaria,Zakaria
Gnonto,Gnonto
Traoré,Traoré
Barkley,Barkley
Mighten,Mighten
Romeu,Romeu
Dendoncker,Dendoncker
Ramsdale,Ramsdale
Saliba,Saliba
Martínez,Martínez
Kamara,Kamara
Cook,Cook
Rothwell,Rothwell
Ghoddos,Ghoddos
Onyeka,Onyeka
Lallana,Lallana
Mitoma,Mitoma
Mendy,Mendy
Azpilicueta,Azpilicueta
Kovacic,Kovacic
Schlupp,Schlupp
Davies,Davies
Dallas,Dallas
Roca,Roca
Ndidi,Ndidi
Praet,Praet
Chamberlain,Chamberlain
Jones,Jones
De Gea,De Gea
McTominay,McTominay
Elanga,Elanga
Targett,Targett
Willock,Willock
O'Brien,O'Brien
Walcott,Walcott
S.Armstrong,S.Armstrong
Romero,Romero
Rice,Rice
Solomon,Solomon
Mangala,Mangala
Tavernier,Tavernier
Onana,Onana
Shelvey,Shelvey
Dawson,Dawson
Maitland-Niles,Maitland-Niles
El Ghazi,El Ghazi
Knockaert,Knockaert
Cavaleiro,Cavaleiro
Allan,Allan
Tierney,Tierney
Partey,Partey
Maitland-Niles,Maitland-Niles
Nelson,Nelson
Marquinhos,Marquinhos
Diego Carlos,Diego Carlos
Douglas Luiz,Douglas Luiz
Stanislas,Stanislas
Marcondes,Marcondes
Dembélé,Dembélé
Enciso,Enciso
Kanté,Kanté
McArthur,McArthur
Hughes,Hughes
Cairney,Cairney
Kristensen,Kristensen
Klich,Klich
Albrighton,Albrighton
Pérez,Pérez
Konaté,Konaté
Keita,Keita
Phillips,Phillips
Varane,Varane
Shelvey,Shelvey
Surridge,Surridge
Lenglet,Lenglet
Bissouma,Bissouma
Cresswell,Cresswell
Dawson,Dawson
Aguerd,Aguerd
Coady,Coady
Dendoncker,Dendoncker
Moutinho,Moutinho
Digne,Digne
Bailey,Bailey
Sánchez,Sánchez
Chalobah,Chalobah
Maguire,Maguire
Shaw,Shaw
Schär,Schär
Henderson,Henderson
Cash,Cash
Dasilva,Dasilva
Dunk,Dunk
Veltman,Veltman
Andreas,Andreas
Doherty,Doherty
Pablo Marí,Pablo Marí
Bidstrup,Bidstrup
Choudhury,Choudhury
Laryea,Laryea
Diop,Diop
Delap,Delap
Gordon,Gordon
Bate,Bate
Simms,Simms
Rak-Sakyi,Rak-Sakyi
Plange,Plange
Gbamin,Gbamin
Winks,Winks
Iroegbunam,Iroegbunam
Bech,Bech
André Gomes,André Gomes
Stansfield,Stansfield
Warrington,Warrington
Saydee,Saydee
Gomes,Gomes
Leno,Leno
White,White
Kelly,Kelly
Pearson,Pearson
Raya,Raya
Ajer,Ajer
Henry,Henry
Mee,Mee
Baptiste,Baptiste
Webster,Webster
Sarmiento,Sarmiento
Ferguson,Ferguson
Guaita,Guaita
Ward,Ward
Clyne,Clyne
Andersen,Andersen
Mitchell,Mitchell
Kouyaté,Kouyaté
Pickford,Pickford
Coleman,Coleman
Mykolenko,Mykolenko
Ream,Ream
Tosin,Tosin
Tete,Tete
Chalobah,Chalobah
Reed,Reed
Meslier,Meslier
Ayling,Ayling
Llorente,Llorente
Koch,Koch
Struijk,Struijk
Firpo,Firpo
Forshaw,Forshaw
Gray,Gray
Gomez,Gomez
Tsimikas,Tsimikas
Milner,Milner
Dalot,Dalot
Malacia,Malacia
Martínez,Martínez
Burn,Burn
Anderson,Anderson
Cook,Cook
McKenna,McKenna
Toffolo,Toffolo
Bazunu,Bazunu
Walker-Peters,Walker-Peters
Perraud,Perraud
Bella-Kotchap,Bella-Kotchap
Lavia,Lavia
R.Sessegnon,R.Sessegnon
Scarlett,Scarlett
Ogbonna,Ogbonna
Zouma,Zouma
Kilman,Kilman
Collins,Collins
Neto,Neto
Mills,Mills
Bajcetic,Bajcetic
Garner,Garner
Senesi,Senesi
Estupiñán,Estupiñán
Kehrer,Kehrer
Clark,Clark
Kurzawa,Kurzawa
Ablade,Ablade
Rodney,Rodney
Knight,Knight
Badé,Badé
Faes,Faes
Phillips,Phillips
Smith,Smith
Caleta-Car,Caleta-Car
Aurier,Aurier
Nwaneri,Nwaneri
Hause,Hause
Butland,Butland
Trevitt,Trevitt
Ampadu,Ampadu
Dubravka,Dubravka
Boly,Boly
Chukwuemeka,Chukwuemeka
Gilmour,Gilmour
Bryan,Bryan
Amad,Amad
Fernández,Fernández
Stephens,Stephens
Bednarek,Bednarek
Oko-Flex,Oko-Flex
Cundle,Cundle
Francois,Francois
Krafth,Krafth
Arter,Arter
Cafú,Cafú
Konsa,Konsa
Young,Young
Sanson,Sanson
Nakamba,Nakamba
Travers,Travers
Smith,Smith
Fredericks,Fredericks
Mepham,Mepham
Zemura,Zemura
Hill,Hill
Strakosha,Strakosha
Jansson,Jansson
Roerslev,Roerslev
Pinnock,Pinnock
Duffy,Duffy
Alzate,Alzate
Moder,Moder
Arrizabalaga,Arrizabalaga
Gilmour,Gilmour
Butland,Butland
Johnstone,Johnstone
Milivojevic,Milivojevic
Riedewald,Riedewald
Ebiowei,Ebiowei
Holgate,Holgate
Tarkowski,Tarkowski
Rodák,Rodák
Robinson,Robinson
Onomah,Onomah
Mbabu,Mbabu
Cooper,Cooper
Summerville,Summerville
Gyabi,Gyabi
Evans,Evans
Castagne,Castagne
Mendy,Mendy
Soumaré,Soumaré
Palmer,Palmer
Pellistri,Pellistri
Garnacho,Garnacho
Lewis,Lewis
Botman,Botman
S.Longstaff,S.Longstaff
Worrall,Worrall
Richards,Richards
McCarthy,McCarthy
Lyanco,Lyanco
Livramento,Livramento
Salisu,Salisu
Diallo,Diallo
Sánchez,Sánchez
Skipp,Skipp
White,White
Sarr,Sarr
Devine,Devine
Areola,Areola
Coufal,Coufal
Johnson,Johnson
Downes,Downes
Coventry,Coventry
Jonny,Jonny
Campbell,Campbell
Richards,Richards
Harris,Harris
Hammond,Hammond
Colwill,Colwill
Hodge,Hodge
Ronan,Ronan
Sambi,Sambi
Reguilón,Reguilón
Ricardo,Ricardo
Elneny,Elneny
Chambers,Chambers
Mings,Mings
Augustinsson,Augustinsson
Archer,Archer
Stacey,Stacey
Lamptey,Lamptey
Guéhi,Guéhi
Keane,Keane
Mina,Mina
Godfrey,Godfrey
Greenwood,Greenwood
Amartey,Amartey
Justin,Justin
Thomas,Thomas
Lindelöf,Lindelöf
Wan-Bissaka,Wan-Bissaka
Dubravka,Dubravka
Ritchie,Ritchie
Lascelles,Lascelles
Manquillo,Manquillo
Murphy,Murphy
Mbe Soh,Mbe Soh
Biancone,Biancone
Niakhaté,Niakhaté
Colback,Colback
Stephens,Stephens
Bednarek,Bednarek
Diop,Diop
Boly,Boly
Aït-Nouri,Aït-Nouri
Vinagre,Vinagre
Iqbal,Iqbal
Cédric,Cédric
Cédric,Cédric
Holding,Holding
Tomiyasu,Tomiyasu
Söyüncü,Söyüncü
Spence,Spence
Patterson,Patterson
N.Williams,N.Williams
Scherpen,Scherpen
R.Williams,R.Williams
Emerson,Emerson
Bailly,Bailly
Clarke,Clarke
Randolph,Randolph
John,John
Parkes,Parkes
Nkounkou,Nkounkou
Kenedy,Kenedy
Gazzaniga,Gazzaniga
Kongolo,Kongolo
Van den Berg,Van den Berg
Lis,Lis
Valery,Valery
Dennis,Dennis
Kovár,Kovár
Olsen,Olsen
Guilbert,Guilbert
Stevens,Stevens
Steele,Steele
Emerson,Emerson
Welch,Welch
Klaesson,Klaesson
Drameh,Drameh
Ward,Ward
Bertrand,Bertrand
Kelleher,Kelleher
Adrián,Adrián
Phillips,Phillips
Heaton,Heaton
Darlow,Darlow
Hennessey,Hennessey
Dräger,Dräger
Caballero,Caballero
Forster,Forster
Austin,Austin
Randolph,Randolph
Ashby,Ashby
Bueno,Bueno
Smith,Smith
Chambers,Chambers
Lewis,Lewis
Robles,Robles
Smithies,Smithies
Whitworth,Whitworth
H.Davies,H.Davies
Bevan,Bevan
Zanka,Zanka
Larios,Larios
Karius,Karius
Sousa,Sousa
Mbete,Mbete
Jones,Jones
Turner,Turner
Goode,Goode
Tomkins,Tomkins
Ferguson,Ferguson
Hjelde,Hjelde
Vestergaard,Vestergaard
Brunt,Brunt
Ramsay,Ramsay
Ortega,Ortega
Carson,Carson
Wilson-Esbrand,Wilson-Esbrand
B.Williams,B.Williams
Dummett,Dummett
Tanganga,Tanganga
Toti,Toti
Mosquera,Mosquera
Iversen,Iversen
Ashby,Ashby
Kouyaté,Kouyaté
Vale,Vale
Marschall,Marschall
Sinisalo,Sinisalo
Bogarde,Bogarde
O'Reilly,O'Reilly
Cox,Cox
Offiah,Offiah
Bettinelli,Bettinelli
Price,Price
Hughes,Hughes
Smith,Smith
Mitrovi?,Mitrović
Gross,Groß
Paqueta,Paquetá
Periši?,Perišić
Costa,Diego Costa
Ayew,J.Ayew
Kalajdži?,Kalajdžić
Doucouré,A.Doucouré
Doucouré,C.Doucouré
Matheus N.,Matheus
Koz?owski,Kozłowski
Fofana,W.Fofana
Dervi?o?lu,Dervişoğlu
Traore,Traoré
Taylor,Lyle Taylor
Fofana,W.Fofana
van Hecke,Van Hecke
Begovi?,Begović
Šarki?,Šarkić
Jakupovic,Jakupović
Da Costa,Diego Costa
Fosu,Forss
Hayden,Kesler Hayden
Jordão,João Gomes
Oulad M'hand,
Peart-Harris,
Batshuayi,Badiashile
Steer,Patterson
Feeney,Revan
Adaramola,Ahamada
Small,Smallbone
Ekwah,
